,id,RF_pred
10486,216034,-1
20368,418476,-1
9708,200718,-1
16136,332178,-1
17913,368631,-1
2325,48432,-1
18992,390393,-1
22504,460177,-1
24566,501652,-1
31018,631370,-1
9743,201522,-1
25272,516342,-1
23776,485799,-1
8799,181753,-1
28744,585635,-1
6085,125095,-1
1958,40159,-1
2558,53565,-1
1350,28031,-1
15027,308604,-1
15246,313342,-1
17640,363145,-1
25373,518370,-1
23846,487219,-1
26898,548424,-1
26560,541561,-1
31420,638317,-1
15571,319801,-1
29398,599518,-1
14355,294647,-1
29180,595178,-1
12095,249172,-1
12669,260149,-1
30122,613312,-1
4534,93406,-1
27942,569401,-1
14644,300828,-1
29595,603540,-1
10099,208787,-1
11136,229682,-1
24556,501425,-1
28420,579398,-1
14533,298652,-1
6778,139139,-1
9797,202692,-1
5159,106240,-1
6568,134992,-1
3297,67953,-1
12085,249005,-1
19283,396217,-1
31263,635640,-1
26902,548510,-1
12962,266399,-1
11701,241615,-1
21237,435370,-1
1275,26473,-1
21355,437780,-1
10051,207786,-1
22471,459516,-1
30862,628604,-1
15734,323323,-1
22673,463504,-1
3801,78085,-1
4569,94114,-1
22938,469007,-1
19136,393149,-1
16185,333052,-1
27618,563159,-1
22568,461379,-1
25417,519062,-1
24944,509348,-1
21727,444977,-1
6616,136025,-1
21057,431527,-1
11777,242895,-1
12306,253642,-1
20925,428752,-1
19052,391804,-1
4449,91506,-1
16960,348884,-1
14728,302542,-1
22612,462319,-1
22562,461318,-1
1772,36776,-1
28223,575004,-1
21480,439955,-1
3062,63843,-1
28622,583079,-1
26094,532065,-1
12556,258030,-1
10368,213633,-1
15722,322957,-1
7774,160616,-1
22073,451519,-1
12445,255775,-1
19540,401923,-1
4297,88095,-1
11473,236639,-1
16381,337031,-1
605,12863,-1
3546,73131,-1
7778,160681,-1
24991,510346,-1
13074,268539,-1
14411,295926,-1
23853,487384,-1
13644,280568,-1
1306,27086,-1
27685,564482,-1
4250,87259,-1
19814,407785,-1
23398,477945,-1
887,18172,-1
5344,109895,-1
11079,228707,-1
6720,137918,-1
31001,631040,-1
17149,352660,-1
28467,580109,-1
22454,459195,-1
11773,242828,-1
17243,354731,-1
9462,195708,-1
13319,273438,-1
23432,478740,-1
4970,102410,-1
28942,590063,-1
6232,128308,-1
28401,578821,-1
3173,65746,-1
26110,532420,-1
3870,79780,-1
17347,356675,-1
10280,211776,-1
13792,283725,-1
23375,477561,-1
27019,551088,-1
30011,611048,-1
28973,590689,-1
24225,495001,-1
28434,579568,-1
2345,48961,-1
6856,140855,-1
31305,636396,-1
27275,555887,-1
9520,196797,-1
28167,573773,-1
6365,131106,-1
17812,366886,-1
1928,39512,-1
15285,314126,-1
18169,374032,-1
7187,147505,-1
19554,402265,-1
30623,623424,-1
2960,61721,-1
9119,188645,-1
11172,230549,-1
11398,235082,-1
3694,76158,-1
26481,539654,-1
20000,411556,-1
26906,548603,-1
7664,157913,-1
23679,483997,-1
18773,386052,-1
7895,163378,-1
18828,387313,-1
10520,216789,-1
2170,45415,-1
15911,327371,-1
16450,338371,-1
17531,360721,-1
10640,219379,-1
26660,543300,-1
9596,198352,-1
30121,613280,-1
8957,185027,-1
16651,342394,-1
18548,381451,-1
28219,574959,-1
12534,257644,-1
13738,282562,-1
13525,277963,-1
18386,378381,-1
11711,241731,-1
4190,85829,-1
29087,593038,-1
575,12213,-1
3515,72571,-1
15709,322596,-1
20895,428188,-1
6115,125586,-1
9034,187030,-1
791,16334,-1
7551,155396,-1
24676,504163,-1
25684,523956,-1
24370,497705,-1
8038,166155,-1
26846,547394,-1
3473,71604,-1
31304,636369,-1
17416,358075,-1
19494,400894,-1
24197,494283,-1
28254,575636,-1
23254,475228,-1
12390,254977,-1
4169,85367,-1
1761,36567,-1
18465,379941,-1
10587,218203,-1
1318,27306,-1
13325,273677,-1
5257,108025,-1
14474,297278,-1
19074,392222,-1
5124,105560,-1
26714,544543,-1
2926,61216,-1
27801,566819,-1
28490,580517,-1
28032,571120,-1
22733,465163,-1
21626,442812,-1
16321,335612,-1
28042,571454,-1
10791,222445,-1
11275,232852,-1
10218,210788,-1
10456,215339,-1
16929,348166,-1
2030,42004,-1
18737,385310,-1
5006,103172,-1
3386,69683,-1
28202,574547,-1
28711,584680,-1
19941,410279,-1
18454,379732,-1
1982,40963,-1
17009,349796,-1
28240,575452,-1
5061,104272,-1
3708,76460,-1
23263,475337,-1
18718,384842,-1
16687,343277,-1
6878,141285,-1
19183,394189,-1
7701,158599,-1
16907,347735,-1
1277,26566,-1
14614,300106,-1
27760,565977,-1
20756,425835,-1
10111,208948,-1
23453,479281,-1
18009,370625,-1
27159,553772,-1
8573,177061,-1
30031,611534,-1
4759,98068,-1
27161,553800,-1
1555,32379,-1
1406,29394,-1
29129,593896,-1
5292,108727,-1
26988,550385,-1
10505,216452,-1
14913,306462,-1
